#Force Data
#TIMESTEP, Cl, Cd, Clp, Cdp, Clv, Cdv
   0.00000E+00  -0.10385E+00   0.14399E+01  -0.87529E-01   0.14042E+01  -0.16324E-01   0.35710E-01
   0.10002E+00   0.96068E+00   0.86883E+00   0.96964E+00   0.83708E+00  -0.89600E-02   0.31750E-01
   0.20003E+00  -0.53232E+00   0.14814E+01  -0.52410E+00   0.14514E+01  -0.82166E-02   0.30011E-01
   0.30005E+00   0.43634E+00   0.13485E+01   0.44445E+00   0.13176E+01  -0.81099E-02   0.30940E-01
   0.40006E+00  -0.23504E+00   0.15326E+01  -0.22736E+00   0.15002E+01  -0.76761E-02   0.32367E-01
   0.50008E+00   0.33016E+00   0.15008E+01   0.33716E+00   0.14665E+01  -0.70021E-02   0.34288E-01
   0.60009E+00  -0.88357E-01   0.15574E+01  -0.82052E-01   0.15213E+01  -0.63047E-02   0.36091E-01
   0.70011E+00   0.25287E+00   0.15196E+01   0.25836E+00   0.14820E+01  -0.54844E-02   0.37577E-01
   0.80012E+00   0.21181E-01   0.15099E+01   0.25769E-01   0.14714E+01  -0.45876E-02   0.38513E-01
   0.90014E+00   0.22190E+00   0.14928E+01   0.22550E+00   0.14537E+01  -0.35967E-02   0.39095E-01
   0.10002E+01   0.94712E-01   0.14910E+01   0.97261E-01   0.14515E+01  -0.25488E-02   0.39459E-01
   0.11002E+01   0.21454E+00   0.14895E+01   0.21598E+00   0.14498E+01  -0.14338E-02   0.39720E-01
   0.12002E+01   0.14824E+00   0.14850E+01   0.14851E+00   0.14451E+01  -0.27071E-03   0.39873E-01
   0.13002E+01   0.22073E+00   0.14792E+01   0.21979E+00   0.14393E+01   0.93897E-03   0.39906E-01
   0.14002E+01   0.18849E+00   0.14704E+01   0.18631E+00   0.14305E+01   0.21843E-02   0.39812E-01
   0.15002E+01   0.23355E+00   0.14657E+01   0.23009E+00   0.14260E+01   0.34622E-02   0.39626E-01
   0.16002E+01   0.21967E+00   0.14612E+01   0.21491E+00   0.14218E+01   0.47615E-02   0.39388E-01
   0.17003E+01   0.24839E+00   0.14589E+01   0.24231E+00   0.14198E+01   0.60760E-02   0.39124E-01
   0.18003E+01   0.24394E+00   0.14537E+01   0.23654E+00   0.14149E+01   0.73975E-02   0.38827E-01
   0.19003E+01   0.26267E+00   0.14472E+01   0.25395E+00   0.14088E+01   0.87182E-02   0.38479E-01
   0.20003E+01   0.26250E+00   0.14380E+01   0.25247E+00   0.13999E+01   0.10030E-01   0.38063E-01
   0.21003E+01   0.27463E+00   0.14293E+01   0.26330E+00   0.13917E+01   0.11326E-01   0.37583E-01
   0.22003E+01   0.27578E+00   0.14213E+01   0.26318E+00   0.13842E+01   0.12598E-01   0.37060E-01
   0.23004E+01   0.28319E+00   0.14161E+01   0.26935E+00   0.13795E+01   0.13838E-01   0.36531E-01
   0.24004E+01   0.28401E+00   0.14132E+01   0.26897E+00   0.13772E+01   0.15041E-01   0.36030E-01
   0.25004E+01   0.28777E+00   0.14130E+01   0.27157E+00   0.13775E+01   0.16198E-01   0.35586E-01
   0.26004E+01   0.28738E+00   0.14146E+01   0.27008E+00   0.13794E+01   0.17304E-01   0.35219E-01
   0.27004E+01   0.28805E+00   0.14178E+01   0.26970E+00   0.13828E+01   0.18351E-01   0.34938E-01
   0.28004E+01   0.28588E+00   0.14217E+01   0.26654E+00   0.13870E+01   0.19335E-01   0.34742E-01
   0.29005E+01   0.28373E+00   0.14263E+01   0.26348E+00   0.13916E+01   0.20249E-01   0.34629E-01
   0.30005E+01   0.27947E+00   0.14309E+01   0.25838E+00   0.13964E+01   0.21088E-01   0.34589E-01
   0.31005E+01   0.27465E+00   0.14357E+01   0.25280E+00   0.14011E+01   0.21845E-01   0.34613E-01
   0.32005E+01   0.26810E+00   0.14403E+01   0.24559E+00   0.14057E+01   0.22515E-01   0.34691E-01
   0.33005E+01   0.26070E+00   0.14449E+01   0.23760E+00   0.14101E+01   0.23095E-01   0.34816E-01
   0.34005E+01   0.25179E+00   0.14494E+01   0.22822E+00   0.14145E+01   0.23578E-01   0.34979E-01
   0.35005E+01   0.24188E+00   0.14540E+01   0.21792E+00   0.14188E+01   0.23961E-01   0.35177E-01
   0.36006E+01   0.23063E+00   0.14584E+01   0.20639E+00   0.14230E+01   0.24239E-01   0.35405E-01
   0.37006E+01   0.21834E+00   0.14626E+01   0.19393E+00   0.14269E+01   0.24410E-01   0.35657E-01
   0.38006E+01   0.20483E+00   0.14664E+01   0.18036E+00   0.14304E+01   0.24470E-01   0.35927E-01
   0.39006E+01   0.19029E+00   0.14695E+01   0.16587E+00   0.14333E+01   0.24417E-01   0.36206E-01
   0.40006E+01   0.17468E+00   0.14718E+01   0.15042E+00   0.14353E+01   0.24251E-01   0.36484E-01
