0.000000000000000000e+00  4.013896083267940432e-16  2.688500769051179464e-14  2.000000000000000000e+02
1.677852348993264658e-02  1.285497534756793181e+00  1.618412092791439091e-02  2.000000000000000000e+02
3.355704697986529317e-02  1.486132112309481279e+00  1.384100495374404258e-02  2.000000000000000000e+02
5.033557046979793975e-02  1.854469081476968650e+00  1.354726325117943178e-02  2.000000000000000000e+02
6.711409395973058634e-02  2.484794829044243425e+00  1.454599861546705328e-02  2.000000000000000000e+02
8.389261744966322598e-02  3.654358169147481572e+00  1.656833036577495116e-02  2.000000000000000000e+02
1.006711409395958795e-01  6.426416525245159050e+00  2.178335589784751239e-02  2.000000000000000000e+02
1.174496644295285330e-01  2.093231491278766399e+01  5.075895782226435421e-02  2.000000000000000000e+02
1.342281879194611727e-01  1.945931241905809017e+01  3.590439341911348670e-02  2.000000000000000000e+02
1.510067114093938123e-01  6.964935059715520183e+00  1.492488478467497021e-02  2.000000000000000000e+02
1.677852348993264520e-01  4.346194261283059745e+00  1.530887198362983898e-02  2.000000000000000000e+02
1.845637583892591194e-01  3.204879296057414617e+00  1.885283909594761415e-02  2.000000000000000000e+02
2.013422818791917590e-01  2.562423498570923996e+00  2.538784983125737943e-02  2.000000000000000000e+02
2.181208053691243987e-01  2.148442657855560434e+00  3.808097643469497001e-02  2.000000000000000000e+02
2.348993288590570661e-01  1.858385490963125886e+00  7.770354175350899228e-02  2.000000000000000000e+02
2.516778523489897057e-01  1.635503595017317569e+00  1.258896639938680062e+00  2.000000000000000000e+02
2.684563758389223453e-01  1.475025380080131177e+00  6.331047640082082539e-02  2.000000000000000000e+02
2.852348993288549850e-01  1.341716154732364608e+00  3.202246376023937247e-02  2.000000000000000000e+02
3.020134228187876246e-01  1.232346758550785237e+00  2.164460714532133803e-02  2.000000000000000000e+02
3.187919463087202643e-01  1.140942724678195130e+00  1.631162351926590884e-02  2.000000000000000000e+02
3.355704697986529039e-01  1.063308458829119507e+00  1.367852979740279487e-02  2.000000000000000000e+02
